,prompt1,prompt2,prompt3,response1,response2,response3,response4,response5
39,staircase,stair,ladder,elevator,step,rung,climb,chair
40,soldier,army,marine,soldier,navy,marines,corps,military
41,billboard,advertise,axe,chop,cut,yield,chopping,tool
42,boat,harbor,bowl,cupboard,food,table,kitchen,shelf
43,blanket,cloth,basket,plastic,ball,container,cane,wood
44,soup,bowl,chocolate,box,bowl,bar,wrapper,hand
45,jazz,music,fruit,food,dessert,apple,banana,plant
46,painting,museum,picture,house,studio,gallery,wall,album
47,coat,closet,sock,drawer,foot,shoe,stocking,draw
48,chip,bag,candy,box,bar,jar,bag,wrapper
49,wire,copper,knife,metal,cut,steel,blade,fork
50,cider,jug,coffee,mug,cup,pot,urn,carafe
51,dish,cabinet,bowl,cupboard,closet,sink,fruit,rack
52,chemical,flask,crib,box,house,bedroom,room,nursery
53,hand,touch,tongue,taste,lick,nose,,
54,nose,smell,lung,breathe,breath,throat,heart,
55,sock,drawer,shoe,box,closet,floor,tree,rack
56,tulip,flower,bee,animal,insect,honey,bug,hive
57,chemical,laboratory,shower,wash,bathroom,house,bath,home
58,keyboard,key,monsoon,water,rain,raindrop,storm,wind
59,wallet,pocket,money,bank,hand,wallet,account,clip
60,may,month,fall,season,spring,,,
61,street,asphalt,sock,cover,fabric,cloth,thread,clothing
62,tulip,plant,rose,plant,flower,bush,petal,shrub
63,uncle,relative,fear,emotion,feeling,scared,yourself,fearful
64,prisoner,cell,candy,store,shop,jar,bag,wrapper
65,hammer,tool,silver,metal,element,mineral,currency,ore
66,innkeeper,inn,maid,hotel,motel,clean,house,home
67,bleach,clean,train,transport,travel,commute,transportation,move
68,ink,cartridge,pen,desk,pencil,box,drawer,ink
69,silk,material,satin,material,fabric,cloth,thread,texture
70,nest,twig,flock,bird,animal,sheep,birds,geese
71,miner,quarry,clerk,office,store,desk,shop,bank
72,muscle,fiber,body,person,water,muscle,bones,cells
73,tape,fix,gauze,protect,heal,wrap,mend,bandage
74,touch,perception,fear,emotion,feeling,anxiety,perception,reaction
75,flipper,swim,oar,boat,row,paddle,sail,rowing
76,lion,cat,rose,cactus,plant,flower,petal,lily
77,gasoline,tank,car,garage,drive,road,travel,street
78,sheriff,county,policeman,city,town,district,prison,station
79,fireplace,stone,cabin,wood,log,logs,crew,woods
80,doll,toy,stone,mineral,rock,carbon,object,rocks
81,salesman,company,clerk,office,store,bank,grocery,store
82,scientist,laboratory,mayor,office,president,building,house,hall
83,egg,carton,ink,pen,jar,bottle,container,well
84,money,wallet,water,bucket,cup,bottle,glass,sink
85,knife,cut,axe,chop,cut,chops,slice,hit
86,ostrich,bird,gold,metal,treasure,bar,element,mineral
87,flower,vase,plant,seed,pot,dirt,garden,vase
88,animal,zoo,exhibit,building,house,museum,showcase,art
89,skyscraper,building,marble,material,stone,floor,rock,toy
90,truck,transport,car,drive,transport,travel,vehicle,suv
91,snake,reptile,protagonist,actor,person,character,hero,story
92,father,male,daughter,female,girl,mother,woman,
93,horse,stable,pig,farm,pen,barn,sty,stye
94,judge,government,referee,sport,game,school,fight,sports
95,napkin,wipe,fan,cool,blow,fan,wave,spin
96,salad,lettuce,city,people,building,town,street,buildings
97,sugar,sweeten,ear,hear,listen,hearing,smell,tongue
98,couch,sit,bed,lay,sleep,lie,sofa,
99,editor,magazine,journalist,story,newspaper,media,paper,news
100,prairie,weed,field,yield,plant,flower,grass,flowers
101,dinosaur,reptile,one,number,two,nuk,many,half
102,razor,shave,beam,support,see,cut,light,shine
103,gun,holster,book,cover,bag,library,shelf,case
104,rifle,hunt,gun,protect,shoot,kill,hunt,target
105,president,nation,ambassador,organization,car,world,country,embassy
106,diamond,jewel,gold,metal,treasure,bar,element,material
107,leg,walk,eye,see,watch,seeing,,
108,oasis,water,desert,sand,cactus,dry,heat,hot
109,paint,can,ink,pen,bottle,well,cartridge,tatto
110,committee,member,desert,animal,food,sand,cactus,island
111,table,furniture,ant,animal,food,queen,insect,bug
112,flower,plant,satin,dress,material,fabric,cloth,color
113,oak,tree,money,currency,cloth,tree,paper,clip
114,heart,pump,newspaper,media,read,computer,ink,words
115,cat,feline,fall,stop,season,autumn,down,failure
116,roof,shingle,building,metal,house,floor,wood,wall
117,school,educate,fan,game,cool,blow,blows,support
118,wing,fly,menu,restaurant,food,serve,eat,order
119,relative,person,marble,game,material,mineral,art,stone
120,note,notebook,book,story,bag,books,page,paper
121,hour,minute,month,day,year,week,days,
122,tall,height,big,man,size,weight,small,width
123,oil,car,pig,farm,pen,food,barn,sty
124,beach,sand,newspaper,table,read,ink,paper,words
125,large,size,short,size,small,height,length,stature
126,study,learn,research,material,inform,discover,know,examine
127,cake,flour,body,human,water,food,sand,fat
128,needle,sew,story,read,words,write,tell,book
